,CensusTractNumber,White (% of total population),Married With Children (% of households),Nonfamily Households with Children Under 18 (% of all households),Median Household Income ($),Completed High School or High School and Some College (% of adults 25+),Unemployed (% ages 16 and older),Housing Units Occupied by Renters (%),U.S.-Born (% of total population),Elderly Population (% 65+)
0,36005001600.0,3.695829926,14.47502548,0.458715596,33118.0,55.5335409,4.789745896,87.3088685,64.67702371,15.24121014
1,36005001900.0,7.738729144,17.13106295,0.0,40117.0,53.45672292,9.460737938,89.68008256,76.99680511,3.620873269
2,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
3,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
4,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
5,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
6,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
7,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
8,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
9,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
10,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
11,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
12,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
13,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
14,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
15,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
16,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
17,36005002000.0,1.373855121,10.14964216,0.0,18370.0,47.54299754,7.760532151,81.97787899,78.88218152,10.6265612
