boro_cd,year,Total Number HPD Complaints,Normalized complaints by population
101,2013,5,8.19968E-05
101,2014,540,0.008855653
101,2015,1244,0.0204008
101,2016,1157,0.018974056
101,2017,897,0.014710223
102,2013,39,0.000433256
102,2014,873,0.009698276
102,2015,2318,0.025750978
102,2016,1773,0.019696498
102,2017,1658,0.018418948
103,2013,17,0.000104118
103,2014,2741,0.016787423
103,2015,6830,0.041830754
103,2016,6028,0.036918856
103,2017,6559,0.040170998
104,2013,13,0.000125914
104,2014,2552,0.024717904
104,2015,6446,0.062434016
104,2016,5742,0.055615284
104,2017,4676,0.045290329
105,2016,2,3.87049E-05
105,2017,1,1.93525E-05
106,2013,4,2.8022E-05
106,2014,1598,0.011194788
106,2015,3316,0.023230236
106,2016,2879,0.020168833
106,2017,3068,0.021492872
107,2013,34,0.000162614
107,2014,3366,0.016098793
107,2015,7551,0.036114672
107,2016,6738,0.032226282
107,2017,6579,0.031465822
108,2013,1,4.54711E-06
108,2014,1890,0.008594034
108,2015,4555,0.020712077
108,2016,3717,0.016901601
108,2017,3835,0.017438159
109,2013,62,0.000562649
109,2014,5415,0.049141053
109,2015,10661,0.096748432
109,2016,10050,0.091203615
109,2017,10365,0.094062236
110,2013,74,0.000639458
110,2014,4025,0.034781331
110,2015,8388,0.07248343
110,2016,6773,0.058527691
110,2017,8379,0.072405658
111,2013,86,0.000713628
111,2014,2540,0.021076914
111,2015,6557,0.054409971
111,2016,4637,0.038477815
111,2017,5765,0.047837957
112,2013,54,0.000284181
112,2014,9991,0.052578676
112,2015,23861,0.125570993
112,2016,18211,0.09583728
112,2017,17754,0.09343227
201,2013,10,0.000109293
201,2014,2157,0.023574543
201,2015,4398,0.04806715
201,2016,3991,0.043618916
201,2017,4082,0.044613485
202,2013,10,0.000191402
202,2014,2369,0.045343184
202,2015,4848,0.092791793
202,2016,4347,0.083202542
202,2017,4767,0.091241435
203,2013,76,0.000952835
203,2014,3689,0.046250094
203,2015,7150,0.089641684
203,2016,6728,0.084350944
203,2017,7486,0.093854216
204,2013,15,0.00010243
204,2014,4894,0.033419602
204,2015,11393,0.07779925
204,2016,10931,0.074644396
204,2017,12367,0.084450393
205,2013,36,0.000280811
205,2014,4281,0.033393136
205,2015,9477,0.073923557
205,2016,8773,0.068432137
205,2017,9189,0.071677067
206,2013,202,0.002425902
206,2014,11406,0.136979392
206,2015,21999,0.264195129
206,2016,20266,0.243382812
206,2017,22260,0.267329586
208,2013,23,0.000226086
208,2014,7051,0.06931024
208,2015,15044,0.147880194
208,2016,11791,0.115903707
208,2017,13000,0.12778799
209,2014,3062,0.017771535
209,2015,7068,0.04102195
209,2016,6926,0.040197797
209,2017,7160,0.041555909
210,2014,329,0.00273274
210,2015,663,0.00550701
210,2016,679,0.00563991
210,2017,578,0.004800983
211,2013,1,8.83143E-06
211,2014,5016,0.044298432
211,2015,9295,0.082088102
211,2016,8691,0.076753921
211,2017,9198,0.081231454
212,2013,65,0.000426666
212,2014,7858,0.051580633
212,2015,15598,0.102386704
212,2016,12882,0.08455863
212,2017,13961,0.091641286
