puma_year,ComplaintID
3701_2014,2402
3701_2015,5621
3701_2016,4404
3701_2017,5215
3701_2018,5286
3702_2014,2849
3702_2015,5389
3702_2016,4611
3702_2017,5080
3702_2018,5079
3703_2014,1589
3703_2015,2689
3703_2016,2692
3703_2017,2481
3703_2018,3256
3704_2014,958
3704_2015,1746
3704_2016,1406
3704_2017,1510
3704_2018,1817
3705_2014,6051
3705_2015,12063
3705_2016,11484
3705_2017,12747
3705_2018,13729
3706_2014,14987
3706_2015,29519
3706_2016,24643
3706_2017,26350
3706_2018,28199
3707_2014,7996
3707_2015,16676
3707_2016,15298
3707_2017,16504
3707_2018,17831
3708_2014,3220
3708_2015,7231
3708_2016,6863
3708_2017,8479
3708_2018,9578
3709_2014,5891
3709_2015,12650
3709_2016,12246
3709_2017,13006
3709_2018,12138
3710_2014,6200
3710_2015,13408
3710_2016,12406
3710_2017,12737
3710_2018,15257
3801_2014,9991
3801_2015,23861
3801_2016,18211
3801_2017,17754
3801_2018,20106
3802_2014,5415
3802_2015,10661
3802_2016,10050
3802_2017,10365
3802_2018,11714
3803_2014,4025
3803_2015,8388
3803_2016,6773
3803_2017,8379
3803_2018,9423
3804_2014,2540
3804_2015,6557
3804_2016,4637
3804_2017,5765
3804_2018,6109
3805_2014,1890
3805_2015,4555
3805_2016,3717
3805_2017,3835
3805_2018,4546
3806_2014,3366
3806_2015,7551
3806_2016,6738
3806_2017,6579
3806_2018,7154
3807_2014,2552
3807_2015,6449
3807_2016,5746
3807_2017,4679
3807_2018,4792
3808_2014,1598
3808_2015,3316
3808_2016,2879
3808_2017,3068
3808_2018,3370
3809_2014,2741
3809_2015,6830
3809_2016,6028
3809_2017,6559
3809_2018,6308
3810_2014,1413
3810_2015,3562
3810_2016,2930
3810_2017,2555
3810_2018,3261
3901_2014,124
3901_2015,245
3901_2016,238
3901_2017,247
3901_2018,306
3902_2014,469
3902_2015,978
3902_2016,864
3902_2017,936
3902_2018,1178
3903_2014,1669
3903_2015,3137
3903_2016,3179
3903_2017,3228
3903_2018,3545
4001_2014,1975
4001_2015,4154
4001_2016,3727
4001_2017,3781
4001_2018,4387
4002_2014,1350
4002_2015,2723
4002_2016,2466
4002_2017,2696
4002_2018,2967
4003_2014,5635
4003_2015,11335
4003_2016,9597
4003_2017,11738
4003_2018,12338
4004_2014,1219
4004_2015,3505
4004_2016,2126
4004_2017,2398
4004_2018,2754
4005_2014,1064
4005_2015,1884
4005_2016,1586
4005_2017,2077
4005_2018,2443
4006_2014,4781
4006_2015,9726
4006_2016,8248
4006_2017,9092
4006_2018,9254
4007_2014,5821
4007_2015,11007
4007_2016,9361
4007_2017,10608
4007_2018,11508
4008_2014,4441
4008_2015,9563
4008_2016,8685
4008_2017,9109
4008_2018,9329
4009_2014,1522
4009_2015,2710
4009_2016,2774
4009_2017,2800
4009_2018,3072
4010_2014,2078
4010_2015,4278
4010_2016,3650
4010_2017,4586
4010_2018,5050
4011_2014,3439
4011_2015,6664
4011_2016,6317
4011_2017,6942
4011_2018,7446
4012_2014,1687
4012_2015,3899
4012_2016,3759
4012_2017,3388
4012_2018,3661
4013_2014,1384
4013_2015,3349
4013_2016,2318
4013_2017,3070
4013_2018,3661
4014_2014,1993
4014_2015,4161
4014_2016,3768
4014_2017,3782
4014_2018,4060
4015_2014,8688
4015_2015,17825
4015_2016,15922
4015_2017,18615
4015_2018,19152
4016_2014,2444
4016_2015,5024
4016_2016,4788
4016_2017,4635
4016_2018,5868
4017_2014,2944
4017_2015,6428
4017_2016,5422
4017_2017,5738
4017_2018,6496
4018_2014,440
4018_2015,1215
4018_2016,1007
4018_2017,883
4018_2018,882
4101_2014,2401
4101_2015,5018
4101_2016,3967
4101_2017,4437
4101_2018,4557
4102_2014,1155
4102_2015,2492
4102_2016,2023
4102_2017,2536
4102_2018,2971
4103_2014,1596
4103_2015,3604
4103_2016,3357
4103_2017,3655
4103_2018,3629
4104_2014,231
4104_2015,501
4104_2016,491
4104_2017,492
4104_2018,527
4105_2014,1073
4105_2015,2190
4105_2016,1729
4105_2017,1939
4105_2018,2107
4106_2014,1243
4106_2015,2669
4106_2016,2461
4106_2017,2720
4106_2018,2646
4107_2014,2150
4107_2015,4971
4107_2016,5167
4107_2017,6264
4107_2018,6502
4108_2014,1773
4108_2015,3128
4108_2016,2356
4108_2017,2347
4108_2018,2628
4109_2014,1663
4109_2015,3367
4109_2016,2534
4109_2017,2887
4109_2018,3124
4110_2014,1472
4110_2015,2822
4110_2016,2603
4110_2017,2858
4110_2018,3328
4111_2014,1442
4111_2015,2550
4111_2016,2223
4111_2017,2225
4111_2018,2468
4112_2014,2590
4112_2015,4946
4112_2016,3948
4112_2017,4554
4112_2018,4414
4113_2014,1150
4113_2015,1984
4113_2016,1713
4113_2017,2233
4113_2018,1961
4114_2014,1968
4114_2015,4491
4114_2016,3384
4114_2017,3899
4114_2018,3950
