CD,Year,Total Number NYPD Complaints,Complaints normalized by population
101,2013,4728,0.077536161
101,2014,4567,0.074895864
101,2015,4867,0.079815671
101,2016,5492,0.090065269
101,2017,5358,0.087867756
102,2013,9686,0.107603093
102,2014,8503,0.094460985
102,2015,8032,0.089228582
102,2016,7714,0.085695876
102,2017,7910,0.087873267
103,2013,10594,0.064883603
103,2014,10253,0.062795127
103,2015,10422,0.063830178
103,2016,11036,0.067590659
103,2017,10404,0.063719936
104,2013,11767,0.113971621
104,2014,11457,0.110969054
104,2015,10831,0.104905807
104,2016,11597,0.112325052
104,2017,11310,0.109545256
105,2013,17747,0.343448223
105,2014,16639,0.32200569
105,2015,16709,0.323360362
105,2016,15791,0.305594798
105,2017,15754,0.304878757
106,2013,5540,0.038810466
106,2014,5327,0.037318295
106,2015,5560,0.038950576
106,2016,5629,0.039433956
106,2017,6041,0.042320221
107,2013,8712,0.041667464
107,2014,8435,0.040342637
107,2015,8517,0.040734824
107,2016,8580,0.041036139
107,2017,9210,0.044049282
108,2013,6311,0.028696799
108,2014,5929,0.026959804
108,2015,5981,0.027196253
108,2016,6386,0.029037832
108,2017,6559,0.029824482
109,2013,8378,0.076030238
109,2014,7716,0.070022597
109,2015,7304,0.066283702
109,2016,7559,0.068597824
109,2017,6777,0.061501184
110,2013,11377,0.098312349
110,2014,11307,0.097707457
110,2015,11614,0.100360343
110,2016,12630,0.109139929
110,2017,11934,0.103125567
111,2013,12808,0.106280755
111,2014,13390,0.111110189
111,2015,13136,0.109002498
111,2016,12679,0.105210313
111,2017,12302,0.102081968
112,2013,9561,0.050315756
112,2014,9248,0.048668561
112,2015,9455,0.04975792
112,2016,9707,0.051084096
112,2017,9912,0.05216293
201,2013,11278,0.123260872
201,2014,11605,0.12683476
201,2015,12248,0.133862312
201,2016,12113,0.132386854
201,2017,11763,0.128561592
202,2013,6025,0.115319833
202,2014,6291,0.120411132
202,2015,5761,0.110266815
202,2016,5724,0.109558627
202,2017,5136,0.098304176
203,2013,7131,0.089403475
203,2014,7459,0.093515709
203,2015,7318,0.09174795
203,2016,7821,0.098054211
203,2017,7779,0.097527645
204,2013,13077,0.089298762
204,2014,12412,0.084757684
204,2015,12534,0.085590784
204,2016,12411,0.084750855
204,2017,12410,0.084744027
205,2013,9289,0.072457098
205,2014,9801,0.076450858
205,2015,9445,0.073673947
205,2016,9271,0.072316693
205,2017,8496,0.066271451
206,2013,7941,0.095366768
206,2014,8138,0.097732622
206,2015,7901,0.094886391
206,2016,7557,0.090755152
206,2017,7762,0.093217082
207,2013,9952,0.07145011
207,2014,10359,0.074372155
207,2015,9958,0.071493187
207,2016,9479,0.068054219
207,2017,9759,0.070064472
208,2013,4622,0.045433545
208,2014,4919,0.048353009
208,2015,4907,0.048235051
208,2016,4884,0.048008965
208,2017,4716,0.046357551
209,2013,12406,0.072003157
209,2014,12025,0.069791872
209,2015,11510,0.066802865
209,2016,11707,0.067946233
209,2017,11061,0.064196915
210,2013,5674,0.047129377
210,2014,6088,0.050568144
210,2015,6377,0.052968636
210,2016,6173,0.051274171
210,2017,5977,0.049646156
211,2013,6239,0.055099265
211,2014,6263,0.055311219
211,2015,5995,0.052944397
211,2016,6120,0.054048326
211,2017,6159,0.054392751
212,2013,8885,0.058321956
212,2014,9275,0.060881951
