,Location,Year,Fips,poverty_pct,unemployment_rt,median_income,limited_english_pct
0,Astoria,2013,401,0.19033,0.09626,56018.80292,0.157
1,Astoria,2014,401,0.17129,0.09,60824.80189,0.149
2,Astoria,2015,401,0.16715,0.061,62240.66208,0.154
3,Astoria,2016,401,0.138,0.055999999999999994,64354.43973,0.17300000000000001
4,Astoria,2018,401,0.13940999999999998,0.044000000000000004,68665.94375,0.131
5,Astoria,2017,401,0.13,0.046,69232.19668,0.12531
6,Battery Park/Tribeca,2017,101,0.08800000000000001,0.026000000000000002,151098.52355,0.03162
7,Battery Park/Tribeca,2016,101,0.08,0.039,146178.73514,0.027000000000000003
8,Battery Park/Tribeca,2015,101,0.07366,0.042,131814.92691,0.033
9,Battery Park/Tribeca,2018,101,0.06625,0.037000000000000005,150836.20335,0.052520000000000004
10,Battery Park/Tribeca,2013,101,0.07797,0.042,137750.63212,0.040999999999999995
11,Battery Park/Tribeca,2014,101,0.07962000000000001,0.044000000000000004,129921.14556,0.037000000000000005
12,Bay Ridge,2015,310,0.1391,0.077,69470.67068,0.159
13,Bay Ridge,2016,310,0.15,0.068,70921.34975,0.15
14,Bay Ridge,2017,310,0.152,0.047,71627.82133,0.16902999999999999
15,Bay Ridge,2018,310,0.15868,0.036000000000000004,73713.77231,0.15199000000000001
16,Bay Ridge,2013,310,0.15504,0.09451,64440.31095,0.171
17,Bay Ridge,2014,310,0.21845,0.07400000000000001,61286.37382,0.161
18,Bayside,2017,411,0.098,0.049,73167.19529,0.18431
19,Bayside,2016,411,0.076,0.027000000000000003,84286.35399,0.19699999999999998
20,Bayside,2013,411,0.07081,0.06652000000000001,79321.12993,0.187
21,Bayside,2018,411,0.06093,0.035,87902.26339,0.17942
22,Bayside,2014,411,0.07986,0.055,87413.29027,0.156
23,Bayside,2015,411,0.08667000000000001,0.062,85488.9166,0.18899999999999997
24,Bedford Park,2013,207,0.35286,0.17795,31954.68175,0.251
25,Bedford Park,2015,207,0.33253,0.15,34465.5589,0.242
26,Bedford Park,2016,207,0.31,0.107,36287.39813,0.267
27,Bedford Park,2017,207,0.32899999999999996,0.107,36873.01247,0.23143000000000002
28,Bedford Park,2018,207,0.27808,0.098,34971.3318,0.29252
29,Bedford Park,2014,207,0.31451,0.135,38368.84152,0.282
30,Bedford Stuyvesant,2013,303,0.3737,0.15492999999999998,40887.35036,0.057999999999999996
31,Bedford Stuyvesant,2018,303,0.27036,0.057999999999999996,55992.41211,0.06909
32,Bedford Stuyvesant,2016,303,0.267,0.085,54797.05008,0.067
33,Bedford Stuyvesant,2014,303,0.30288000000000004,0.125,37485.69337,0.068
34,Bedford Stuyvesant,2017,303,0.244,0.047,54135.69391,0.058789999999999995
35,Bedford Stuyvesant,2015,303,0.33704,0.12,42672.15821,0.057
36,Bensonhurst,2015,311,0.20099,0.073,53986.58212,0.349
37,Bensonhurst,2017,311,0.17300000000000001,0.061,55789.79086,0.33016
38,Bensonhurst,2013,311,0.16121,0.09394,51964.69489,0.302
39,Bensonhurst,2014,311,0.19644,0.08800000000000001,51613.90181,0.32799999999999996
40,Bensonhurst,2018,311,0.19965,0.057999999999999996,55444.66468,0.32305
41,Bensonhurst,2016,311,0.152,0.061,54422.0416,0.312
42,Borough Park,2018,312,0.27846,0.042,51466.87804,0.21661
43,Borough Park,2017,312,0.308,0.052000000000000005,47311.76177,0.15769
44,Borough Park,2014,312,0.32738,0.05,46721.45564,0.27399999999999997
45,Borough Park,2015,312,0.30082,0.059000000000000004,46587.15391,0.22
46,Borough Park,2016,312,0.317,0.051,48789.45671,0.175
47,Borough Park,2013,312,0.34255,0.07162,44598.48613,0.226
