,Location,Year,Fips,poverty_pct,unemployment_rt,Household Type,median_income,Type,limited_english_pct
0,Astoria,2013,401,0.19033,0.09626,All Households,56018.80292,Households,0.157
1,Astoria,2014,401,0.17129,0.09,All Households,60824.80189,Households,0.149
2,Astoria,2015,401,0.16715,0.061,All Households,62240.66208,Households,0.154
3,Astoria,2016,401,0.138,0.055999999999999994,All Households,64354.43973,Households,0.17300000000000001
4,Astoria,2018,401,0.13940999999999998,0.044000000000000004,All Households,68665.94375,Households,0.131
5,Astoria,2017,401,0.13,0.046,All Households,69232.19668,Households,0.12531
6,Battery Park/Tribeca,2017,101,0.08800000000000001,0.026000000000000002,All Households,151098.52355,Households,0.03162
7,Battery Park/Tribeca,2016,101,0.08,0.039,All Households,146178.73514,Households,0.027000000000000003
8,Battery Park/Tribeca,2015,101,0.07366,0.042,All Households,131814.92691,Households,0.033
9,Battery Park/Tribeca,2018,101,0.06625,0.037000000000000005,All Households,150836.20335,Households,0.052520000000000004
10,Battery Park/Tribeca,2013,101,0.07797,0.042,All Households,137750.63212,Households,0.040999999999999995
11,Battery Park/Tribeca,2014,101,0.07962000000000001,0.044000000000000004,All Households,129921.14556,Households,0.037000000000000005
12,Bay Ridge,2015,310,0.1391,0.077,All Households,69470.67068,Households,0.159
13,Bay Ridge,2016,310,0.15,0.068,All Households,70921.34975,Households,0.15
14,Bay Ridge,2017,310,0.152,0.047,All Households,71627.82133,Households,0.16902999999999999
15,Bay Ridge,2018,310,0.15868,0.036000000000000004,All Households,73713.77231,Households,0.15199000000000001
16,Bay Ridge,2013,310,0.15504,0.09451,All Households,64440.31095,Households,0.171
17,Bay Ridge,2014,310,0.21845,0.07400000000000001,All Households,61286.37382,Households,0.161
18,Bayside,2017,411,0.098,0.049,All Households,73167.19529,Households,0.18431
19,Bayside,2016,411,0.076,0.027000000000000003,All Households,84286.35399,Households,0.19699999999999998
20,Bayside,2013,411,0.07081,0.06652000000000001,All Households,79321.12993,Households,0.187
21,Bayside,2018,411,0.06093,0.035,All Households,87902.26339,Households,0.17942
22,Bayside,2014,411,0.07986,0.055,All Households,87413.29027,Households,0.156
23,Bayside,2015,411,0.08667000000000001,0.062,All Households,85488.9166,Households,0.18899999999999997
24,Bedford Park,2013,207,0.35286,0.17795,All Households,31954.68175,Households,0.251
25,Bedford Park,2015,207,0.33253,0.15,All Households,34465.5589,Households,0.242
26,Bedford Park,2016,207,0.31,0.107,All Households,36287.39813,Households,0.267
27,Bedford Park,2017,207,0.32899999999999996,0.107,All Households,36873.01247,Households,0.23143000000000002
28,Bedford Park,2018,207,0.27808,0.098,All Households,34971.3318,Households,0.29252
29,Bedford Park,2014,207,0.31451,0.135,All Households,38368.84152,Households,0.282
30,Bedford Stuyvesant,2013,303,0.3737,0.15492999999999998,All Households,40887.35036,Households,0.057999999999999996
31,Bedford Stuyvesant,2018,303,0.27036,0.057999999999999996,All Households,55992.41211,Households,0.06909
32,Bedford Stuyvesant,2016,303,0.267,0.085,All Households,54797.05008,Households,0.067
33,Bedford Stuyvesant,2014,303,0.30288000000000004,0.125,All Households,37485.69337,Households,0.068
34,Bedford Stuyvesant,2017,303,0.244,0.047,All Households,54135.69391,Households,0.058789999999999995
35,Bedford Stuyvesant,2015,303,0.33704,0.12,All Households,42672.15821,Households,0.057
36,Bensonhurst,2015,311,0.20099,0.073,All Households,53986.58212,Households,0.349
37,Bensonhurst,2017,311,0.17300000000000001,0.061,All Households,55789.79086,Households,0.33016
38,Bensonhurst,2013,311,0.16121,0.09394,All Households,51964.69489,Households,0.302
39,Bensonhurst,2014,311,0.19644,0.08800000000000001,All Households,51613.90181,Households,0.32799999999999996
40,Bensonhurst,2018,311,0.19965,0.057999999999999996,All Households,55444.66468,Households,0.32305
41,Bensonhurst,2016,311,0.152,0.061,All Households,54422.0416,Households,0.312
42,Borough Park,2018,312,0.27846,0.042,All Households,51466.87804,Households,0.21661
43,Borough Park,2017,312,0.308,0.052000000000000005,All Households,47311.76177,Households,0.15769
44,Borough Park,2014,312,0.32738,0.05,All Households,46721.45564,Households,0.27399999999999997
45,Borough Park,2015,312,0.30082,0.059000000000000004,All Households,46587.15391,Households,0.22
46,Borough Park,2016,312,0.317,0.051,All Households,48789.45671,Households,0.175
47,Borough Park,2013,312,0.34255,0.07162,All Households,44598.48613,Households,0.226
48,Brownsville,2017,316,0.39899999999999997,0.207,All Households,21123.63158,Households,0.07727
49,Brownsville,2014,316,0.3859,0.107,All Households,27304.08699,Households,0.081
50,Brownsville,2013,316,0.35325,0.15715,All Households,30705.91095,Households,0.07200000000000001
51,Brownsville,2018,316,0.27839,0.064,All Households,33035.88967,Households,0.08274
52,Brownsville,2015,316,0.34979,0.138,All Households,29201.681,Households,0.067
53,Brownsville,2016,316,0.332,0.14,All Households,32181.48132,Households,0.07
54,Bushwick,2013,304,0.25032,0.15244000000000002,All Households,47657.75474,Households,0.184
55,Bushwick,2018,304,0.24006,0.038,All Households,54327.78935,Households,0.14574
56,Bushwick,2016,304,0.287,0.07400000000000001,All Households,51595.62818,Households,0.163
57,Bushwick,2017,304,0.271,0.052000000000000005,All Households,52830.98061,Households,0.18961
58,Bushwick,2014,304,0.27073,0.135,All Households,43761.77433,Households,0.195
59,Bushwick,2015,304,0.29101,0.085,All Households,46609.81513,Households,0.168
60,Canarsie,2017,318,0.08900000000000001,0.053,All Households,79937.93767,Households,0.04877
61,Canarsie,2014,318,0.1293,0.084,All Households,67117.09733,Households,0.084
62,Canarsie,2015,318,0.12379000000000001,0.062,All Households,74559.73345,Households,0.073
63,Canarsie,2016,318,0.091,0.068,All Households,80318.93463,Households,0.064
64,Canarsie,2018,318,0.09614,0.048,All Households,74323.62493,Households,0.05322
65,Canarsie,2013,318,0.11767999999999999,0.09377,All Households,72862.91825,Households,0.07400000000000001
66,Central Harlem,2015,110,0.24086999999999997,0.11599999999999999,All Households,49685.26655,Households,0.07200000000000001
67,Central Harlem,2013,110,0.31331,0.10718,All Households,40581.75328,Households,0.061
68,Central Harlem,2018,110,0.25119,0.053,All Households,48572.36885,Households,0.04186
69,Central Harlem,2017,110,0.235,0.08199999999999999,All Households,51165.41136,Households,0.06909
70,Central Harlem,2016,110,0.272,0.081,All Households,48627.52122,Households,0.068
71,Central Harlem,2014,110,0.29239,0.13,All Households,43848.25151,Households,0.07400000000000001
72,Chelsea/Clinton,2013,104,0.13691,0.0645,All Households,110625.0438,Households,0.062
73,Chelsea/Clinton,2014,104,0.13027,0.051,All Households,106540.96038,Households,0.068
74,Chelsea/Clinton,2018,104,0.11104000000000001,0.053,All Households,102911.35749,Households,0.0734
75,Chelsea/Clinton,2015,104,0.13225,0.048,All Households,110366.62081,Households,0.065
76,Chelsea/Clinton,2016,104,0.127,0.033,All Households,108187.81834,Households,0.075
77,Chelsea/Clinton,2017,104,0.138,0.048,All Households,106359.6856,Households,0.08922000000000001
78,Concourse/Highbridge,2013,204,0.37598000000000004,0.14862,All Households,29006.43942,Households,0.235
79,Concourse/Highbridge,2016,204,0.349,0.11599999999999999,All Households,33557.93294,Households,0.256
80,Concourse/Highbridge,2018,204,0.32369000000000003,0.105,All Households,33985.79367,Households,0.26577
81,Concourse/Highbridge,2014,204,0.37296999999999997,0.109,All Households,29405.48234,Households,0.254
82,Concourse/Highbridge,2017,204,0.364,0.125,All Households,32226.7313,Households,0.23449
83,Concourse/Highbridge,2015,204,0.36068,0.068,All Households,28193.79622,Households,0.226
84,Coney Island,2013,313,0.25811,0.12693,All Households,33912.48175,Households,0.39799999999999996
85,Coney Island,2018,313,0.28894000000000003,0.055,All Households,40489.53083,Households,0.44637
86,Coney Island,2017,313,0.248,0.061,All Households,37668.77285,Households,0.4206
87,Coney Island,2015,313,0.20986,0.13,All Households,43468.53826,Households,0.369
88,Coney Island,2014,313,0.32627,0.09,All Households,31972.77347,Households,0.402
89,Coney Island,2016,313,0.21899999999999997,0.095,All Households,41776.15874,Households,0.406
90,Crown Heights North,2016,308,0.22699999999999998,0.068,All Households,55280.72581,Households,0.035
91,Crown Heights North,2013,308,0.27309,0.08853,All Households,42908.90803,Households,0.063
92,Crown Heights North,2014,308,0.24639,0.081,All Households,48539.63824,Households,0.040999999999999995
93,Crown Heights North,2017,308,0.2,0.068,All Households,62687.77147,Households,0.050480000000000004
94,Crown Heights North,2015,308,0.23809,0.063,All Households,49333.47807,Households,0.043
95,Crown Heights North,2018,308,0.18986,0.055,All Households,66698.93997,Households,0.022359999999999998
96,Crown Heights South,2018,309,0.15284,0.047,All Households,63473.54246,Households,0.036430000000000004
97,Crown Heights South,2013,309,0.20023,0.14248,All Households,50889.60876,Households,0.067
