,Community District,Year,Evic_rt,CD_ID
0,MN 01 - Financial District,2013,43.711094837055995,101
1,MN 01 - Financial District,2014,35.4075835645396,101
2,MN 01 - Financial District,2015,28.1574748824975,101
3,MN 01 - Financial District,2016,26.383319967923,101
4,MN 01 - Financial District,2017,22.3144378327592,101
5,MN 02 - Greenwich Village/Soho,2013,32.7732170343766,102
6,MN 02 - Greenwich Village/Soho,2014,31.122579001019396,102
7,MN 02 - Greenwich Village/Soho,2015,28.6095746709899,102
8,MN 02 - Greenwich Village/Soho,2016,28.360250065121104,102
9,MN 02 - Greenwich Village/Soho,2017,23.839724200735002,102
10,QN 08 - Hillcrest/Fresh Meadows,2013,113.490792634107,408
11,QN 08 - Hillcrest/Fresh Meadows,2014,115.04468966894699,408
12,QN 08 - Hillcrest/Fresh Meadows,2015,125.194674704848,408
13,QN 08 - Hillcrest/Fresh Meadows,2016,113.30318540972999,408
14,QN 08 - Hillcrest/Fresh Meadows,2017,105.99880620772,408
15,QN 09 - Kew Gardens/Woodhaven,2013,77.3433267112155,409
16,QN 09 - Kew Gardens/Woodhaven,2014,76.8918553260576,409
17,QN 09 - Kew Gardens/Woodhaven,2015,73.0914997292907,409
18,QN 09 - Kew Gardens/Woodhaven,2016,70.4554651319635,409
19,QN 09 - Kew Gardens/Woodhaven,2017,69.6427767016532,409
20,QN 10 - South Ozone Park/Howard Beach,2013,63.564770170363204,410
21,QN 10 - South Ozone Park/Howard Beach,2014,64.76144732628879,410
22,QN 10 - South Ozone Park/Howard Beach,2015,64.5393474088292,410
23,QN 10 - South Ozone Park/Howard Beach,2016,54.814222932481,410
24,QN 10 - South Ozone Park/Howard Beach,2017,57.231800766283506,410
25,MN 03 - Lower East Side/Chinatown,2013,43.427230046948395,103
26,MN 03 - Lower East Side/Chinatown,2014,41.5104967827198,103
27,MN 03 - Lower East Side/Chinatown,2015,33.603707995365,103
28,MN 03 - Lower East Side/Chinatown,2016,33.4130881920833,103
29,MN 03 - Lower East Side/Chinatown,2017,32.2533657947854,103
30,MN 04 - Clinton/Chelsea,2013,41.9228715616872,104
31,MN 04 - Clinton/Chelsea,2014,38.306184611309796,104
32,MN 04 - Clinton/Chelsea,2015,35.405400935985796,104
33,MN 04 - Clinton/Chelsea,2016,33.460570129131796,104
34,MN 04 - Clinton/Chelsea,2017,32.18241692445861,104
35,MN 05 - Midtown,2013,30.3847536857246,105
36,MN 05 - Midtown,2014,30.61434148346,105
37,MN 05 - Midtown,2015,24.513883634712897,105
38,MN 05 - Midtown,2016,25.1075479077043,105
39,MN 05 - Midtown,2017,24.9193672246967,105
40,MN 06 - Stuyvesant Town/Turtle Bay,2013,32.3600098404708,106
41,MN 06 - Stuyvesant Town/Turtle Bay,2014,31.995803829006,106
42,MN 06 - Stuyvesant Town/Turtle Bay,2015,29.2810312256917,106
43,MN 06 - Stuyvesant Town/Turtle Bay,2016,24.1610006181144,106
44,MN 06 - Stuyvesant Town/Turtle Bay,2017,20.7780885611537,106
45,MN 07 - Upper West Side,2013,43.4562828164237,107
46,MN 07 - Upper West Side,2014,39.485706826785,107
47,MN 07 - Upper West Side,2015,37.090402797565105,107
48,MN 07 - Upper West Side,2016,35.698793438619596,107
