,Location,Year,severe_burden_pct,Fips
37,Battery Park/Tribeca,2013,0.1952,101
39,Battery Park/Tribeca,2015,0.18744,101
40,Battery Park/Tribeca,2014,0.18224,101
41,Battery Park/Tribeca,2017,0.16965999999999998,101
42,Battery Park/Tribeca,2016,0.17581,101
47,Greenwich Village,2016,0.17581,102
48,Greenwich Village,2017,0.16965999999999998,102
49,Greenwich Village,2014,0.18224,102
50,Greenwich Village,2015,0.18744,102
52,Greenwich Village,2013,0.1952,102
67,Lower East Side,2013,0.25536,103
69,Lower East Side,2015,0.22208000000000003,103
70,Lower East Side,2014,0.17768,103
71,Lower East Side,2017,0.23498000000000002,103
72,Lower East Side,2016,0.22021999999999997,103
77,Chelsea/Clinton,2016,0.20293,104
78,Chelsea/Clinton,2017,0.19429000000000002,104
79,Chelsea/Clinton,2014,0.18774000000000002,104
80,Chelsea/Clinton,2015,0.20635,104
82,Chelsea/Clinton,2013,0.2017,104
97,Midtown Business District,2013,0.2017,105
99,Midtown Business District,2015,0.20635,105
100,Midtown Business District,2014,0.18774000000000002,105
101,Midtown Business District,2017,0.19429000000000002,105
102,Midtown Business District,2016,0.20293,105
107,Murray Hill/Stuyvesant,2016,0.23581,106
108,Murray Hill/Stuyvesant,2017,0.19227,106
109,Murray Hill/Stuyvesant,2014,0.17199,106
110,Murray Hill/Stuyvesant,2015,0.2199,106
112,Murray Hill/Stuyvesant,2013,0.18882000000000002,106
127,Upper West Side,2013,0.19757,107
129,Upper West Side,2015,0.20272,107
130,Upper West Side,2014,0.16801,107
131,Upper West Side,2017,0.2026,107
133,Upper West Side,2016,0.23253000000000001,107
136,Upper East Side,2016,0.20828000000000002,108
138,Upper East Side,2017,0.16648,108
139,Upper East Side,2014,0.16309,108
140,Upper East Side,2015,0.17494,108
142,Upper East Side,2013,0.22534,108
157,Manhattanville,2013,0.26676,109
159,Manhattanville,2015,0.28995,109
160,Manhattanville,2014,0.27812,109
161,Manhattanville,2017,0.27524,109
163,Manhattanville,2016,0.28408,109
166,Central Harlem,2016,0.2119,110
168,Central Harlem,2017,0.21393,110
169,Central Harlem,2014,0.26947,110
170,Central Harlem,2015,0.19560999999999998,110
172,Central Harlem,2013,0.2612,110
187,East Harlem,2013,0.25447,111
189,East Harlem,2015,0.22834000000000002,111
190,East Harlem,2014,0.22808,111
192,East Harlem,2016,0.17745999999999998,111
193,East Harlem,2017,0.18927,111
196,Washington Heights,2017,0.23298000000000002,112
197,Washington Heights,2016,0.26976,112
199,Washington Heights,2014,0.2949,112
200,Washington Heights,2015,0.2704,112
202,Washington Heights,2013,0.36023,112
226,Mott Haven,2016,0.32397,201
227,Mott Haven,2017,0.3672,201
229,Mott Haven,2014,0.32799999999999996,201
230,Mott Haven,2015,0.27826,201
232,Mott Haven,2013,0.27724,201
247,Hunts Point,2013,0.27724,202
249,Hunts Point,2015,0.27826,202
250,Hunts Point,2014,0.32799999999999996,202
252,Hunts Point,2016,0.32397,202
253,Hunts Point,2017,0.3672,202
256,Morrisania,2017,0.33995,203
257,Morrisania,2016,0.32977,203
259,Morrisania,2014,0.3485,203
260,Morrisania,2015,0.32981,203
262,Morrisania,2013,0.33965,203
277,Concourse/Highbridge,2013,0.38409,204
279,Concourse/Highbridge,2015,0.40883,204
280,Concourse/Highbridge,2014,0.3762,204
282,Concourse/Highbridge,2016,0.33592,204
283,Concourse/Highbridge,2017,0.35771,204
286,University Heights,2017,0.39166999999999996,205
287,University Heights,2016,0.39279000000000003,205
289,University Heights,2014,0.4251,205
290,University Heights,2015,0.38117,205
292,University Heights,2013,0.41657,205
307,East Tremont,2013,0.33965,206
309,East Tremont,2015,0.32981,206
310,East Tremont,2014,0.3485,206
312,East Tremont,2016,0.32977,206
313,East Tremont,2017,0.33995,206
316,Bedford Park,2017,0.37077,207
317,Bedford Park,2016,0.33093,207
319,Bedford Park,2014,0.34101,207
320,Bedford Park,2015,0.36925,207
321,Bedford Park,2013,0.38049,207
337,Riverdale,2013,0.27226,208
339,Riverdale,2015,0.2503,208
340,Riverdale,2014,0.30473,208
342,Riverdale,2016,0.30796999999999997,208
343,Riverdale,2017,0.29545,208
346,Unionport/Soundview,2017,0.28811,209
347,Unionport/Soundview,2016,0.30884,209
349,Unionport/Soundview,2014,0.3327,209
350,Unionport/Soundview,2015,0.33596,209
351,Unionport/Soundview,2013,0.34254,209
368,Throgs Neck,2013,0.19885,210
369,Throgs Neck,2015,0.35226,210
370,Throgs Neck,2014,0.2027,210
372,Throgs Neck,2017,0.26214,210
373,Throgs Neck,2016,0.20595,210
376,Pelham Parkway,2016,0.24965,211
377,Pelham Parkway,2017,0.3319,211
379,Pelham Parkway,2014,0.29655,211
380,Pelham Parkway,2015,0.33782,211
381,Pelham Parkway,2013,0.28223000000000004,211
398,Williamsbridge,2013,0.31881,212
399,Williamsbridge,2015,0.30666,212
400,Williamsbridge,2014,0.35094000000000003,212
402,Williamsbridge,2017,0.30926,212
403,Williamsbridge,2016,0.3237,212
428,Williamsburg/Greenpoint,2013,0.22133000000000003,301
429,Williamsburg/Greenpoint,2015,0.23974,301
